代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11560091.969999998807907
真實報酬,1560091.969999998807907

夏普值報酬,0.147309197000000
夏普值風險,0.050112682000664
夏普值,2.939559231694063

二次趨勢線,105.109308967185839 x^2 + 98.124534350162548 x + 10000000.000000000000000
二次平均預期報酬,13447.006773182767574
風險,103416.707688244379824
二次平均趨勢值,0.130027411177307
一次趨勢線,10070.214428181645417 x + 10000000.000000000000000
一次預期報酬,10070.214428181645417
一次風險,214928.271659289835952
一次趨勢值,0.046853838029020
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),HD[9](2),PG[21](13),TRV[22](10),WMT[28](7),
Stock#,DIS[6](1),HD[9](2),PG[21](13),TRV[22](10),WMT[28](7),
張數,45620,40008,29603,33709,32594,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,19.199999999953434,0.079999999841675,21.319999999832362,45.030000000027940,32.159999999916181,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1974909.000000000000000,2000400.079999999841675,1986086.589999999850988,1998314.550000000046566,1976858.259999999776483,9936568.480000000447035
FS( 3 ),1958485.800000000046566,1994398.879999999888241,1991119.100000000093132,1996292.010000000009313,1964146.599999999860302,9904442.389999998733401
FS( 4 ),1965328.799999999813735,2025205.039999999804422,1992599.250000000000000,1984830.950000000186265,1977510.139999999897555,9945474.179999999701977
FS( 5 ),1921077.399999999906868,2023604.719999999739230,1977797.750000000000000,1956852.479999999981374,1959909.379999999888241,9839241.730000000447035
FS( 6 ),1869983.000000000000000,1974794.959999999729916,1964180.369999999646097,1946739.780000000027940,1953390.579999999841675,9709088.689999999478459
FS( 7 ),1887318.599999999860302,1990398.079999999841675,1966844.639999999664724,1960897.560000000055879,1949153.359999999869615,9754612.239999998360872
FS( 8 ),1922902.199999999953434,2025605.119999999878928,1956483.589999999850988,1992246.930000000167638,1960235.319999999832362,9857473.160000000149012
FS( 9 ),1909216.199999999953434,2038807.759999999776483,1948194.750000000000000,1959212.109999999869615,1948175.540000000037253,9803606.359999999403954
