代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12795712.859999999403954
真實報酬,2795712.859999999403954

夏普值報酬,0.270871286000000
夏普值風險,0.081899422087673
夏普值,3.307365047216480

二次趨勢線,79.509189428549121 x^2 + 14906.678554908110527 x + 10000000.000000000000000
二次平均預期報酬,24924.836422905300424
風險,139560.645089404482860
二次平均趨勢值,0.178595021590350
一次趨勢線,22390.362221240753570 x + 10000000.000000000000000
一次預期報酬,22390.362221240753570
一次風險,197878.365789083414711
一次趨勢值,0.113152148452178
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),BA[2](1),DIS[6](4),
Stock#,AAPL[0](3),BA[2](1),DIS[6](4),
張數,29624,25180,36039,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,40.520000000018626,4.600000000093132,85.890000000130385,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3347552.520000000018626,3330059.600000000093132,3336936.900000000372529,10014550.019999999552965
FS( 3 ),3349033.719999999739230,3390743.399999999906868,3331891.440000000409782,10071669.559999998658895
FS( 4 ),3373917.879999999888241,3384700.199999999720603,3345586.260000000242144,10104205.339999999850988
FS( 5 ),3378953.959999999962747,3370347.600000000093132,3333333.000000000000000,10082635.560000000521541
FS( 6 ),3437905.719999999739230,3420455.800000000279397,3333333.000000000000000,10191695.519999999552965
FS( 7 ),3445311.719999999739230,3367577.800000000279397,3310628.430000000167638,10123518.949999999254942
FS( 8 ),3476120.680000000167638,3352973.399999999906868,3294410.879999999888241,10123505.960000000894070
FS( 9 ),3465456.040000000037253,3358513.000000000000000,3283959.570000000298023,10107929.609999999403954
FS( 10 ),3484711.639999999664724,3361534.600000000093132,3290446.589999999850988,10136693.830000000074506
FS( 11 ),3482341.719999999739230,3374124.600000000093132,3273508.260000000242144,10129975.580000000074506
FS( 12 ),3479971.799999999813735,3401822.600000000093132,3285761.520000000018626,10167556.919999999925494
FS( 13 ),3469603.400000000372529,3429017.000000000465661,3313151.160000000149012,10211772.560000000521541
FS( 14 ),3467825.959999999962747,3420455.800000000279397,3316755.060000000055879,10205037.820000000298023
