代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11455728.719999998807907
真實報酬,1455728.719999998807907

夏普值報酬,0.136872872000000
夏普值風險,0.039069176088859
夏普值,3.503346773648244

二次趨勢線,74.256798530904561 x^2 + 1266.900124980995315 x + 10000000.000000000000000
二次平均預期報酬,10623.256739874970663
風險,94950.553414380818140
二次平均趨勢值,0.111881988654802
一次趨勢線,8256.210345270346807 x + 10000000.000000000000000
一次預期報酬,8256.210345270346807
一次風險,161802.982066120370291
一次趨勢值,0.051026317561295
找到最佳解世代,2716
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](1),KO[14](7),TRV[22](10),UNH[23](9),VZ[26](3),WMT[28](6),
Stock#,DIS[6](1),KO[14](7),TRV[22](10),UNH[23](9),VZ[26](3),WMT[28](6),
張數,43504,47523,28253,32368,41949,27625,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,27.760000000009313,34.389999999897555,21.530000000027940,37.679999999934807,32.230000000214204,49.750000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1690158.160000000149012,1656210.939999999944121,1659885.280000000027940,1690942.000000000000000,1644852.520000000251457,1649538.500000000000000,9991591.400000000372529
FS( 3 ),1718435.760000000009313,1648607.259999999776483,1676272.020000000018626,1702270.800000000046566,1633526.290000000037253,1641527.250000000000000,10020643.379999998956919
FS( 4 ),1736272.399999999906868,1638152.199999999953434,1676837.080000000074506,1708420.719999999972060,1607937.400000000139698,1629924.750000000000000,9997548.550000000745058
FS( 5 ),1729311.760000000009313,1638152.199999999953434,1686443.099999999860302,1706478.639999999897555,1609615.360000000102445,1634897.250000000000000,10004902.309999998658895
FS( 6 ),1724091.280000000027940,1647656.800000000046566,1698026.830000000074506,1703241.839999999850988,1618005.160000000149012,1631029.750000000000000,10022055.660000000149012
FS( 7 ),1683632.560000000055879,1617242.079999999841675,1692376.229999999981374,1715865.359999999869615,1631848.330000000074506,1640974.750000000000000,9981943.309999998658895
FS( 8 ),1684937.679999999934807,1605361.329999999841675,1689550.929999999934807,1711333.839999999850988,1632687.310000000288710,1643737.250000000000000,9967612.339999999850988
FS( 9 ),1670581.359999999869615,1591579.659999999916181,1677402.139999999897555,1705831.280000000027940,1632687.310000000288710,1644842.250000000000000,9922928.000000000000000
FS( 10 ),1674061.679999999934807,1600133.800000000046566,1686443.099999999860302,1733991.439999999944121,1636882.210000000428408,1653406.000000000000000,9984922.230000000447035
FS( 11 ),1697553.840000000083819,1606311.789999999804422,1692093.699999999953434,1745967.599999999860302,1636462.720000000204891,1657826.000000000000000,10036219.650000000372529
FS( 12 ),1715825.520000000018626,1602985.179999999701977,1703677.429999999934807,1693531.439999999944121,1636043.230000000214204,1674401.000000000000000,10026467.800000000745058
FS( 13 ),1710170.000000000000000,1618192.539999999804422,1740123.800000000046566,1691913.040000000037253,1634784.760000000242144,1685451.000000000000000,10080639.140000000596046
FS( 14 ),1707559.760000000009313,1628647.600000000093132,1703394.899999999906868,1697091.919999999925494,1610873.830000000074506,1682688.500000000000000,10030260.509999999776483
FS( 15 ),1707559.760000000009313,1613440.239999999990687,1638695.530000000027940,1661487.119999999878928,1585284.940000000176951,1695948.500000000000000,9902420.089999999850988
FS( 16 ),1721046.000000000000000,1626271.449999999953434,1671186.479999999981374,1669255.439999999944121,1581090.040000000037253,1698158.500000000000000,9967011.910000000149012
FS( 17 ),1711910.160000000149012,1616291.619999999878928,1658472.630000000121072,1629766.479999999981374,1566407.890000000363216,1684346.000000000000000,9867198.780000001192093
FS( 18 ),1707559.760000000009313,1602509.949999999953434,1640108.179999999934807,1651453.040000000037253,1560954.520000000251457,1677163.500000000000000,9839752.949999999254942
FS( 19 ),1696248.720000000204891,1602985.179999999701977,1641803.360000000102445,1653071.439999999944121,1577734.120000000111759,1693462.250000000000000,9865309.070000000298023
FS( 20 ),1692333.359999999869615,1604886.100000000093132,1647171.429999999934807,1676376.399999999906868,1579831.570000000065193,1695119.750000000000000,9895722.609999999403954
FS( 21 ),1711040.079999999841675,1612014.550000000046566,1674576.840000000083819,1723957.359999999869615,1585704.430000000167638,1717772.250000000000000,10025069.509999999776483
FS( 22 ),1692768.399999999906868,1612014.550000000046566,1677967.199999999953434,1700652.399999999906868,1575636.670000000391155,1711142.250000000000000,9970185.470000000670552
FS( 23 ),1740187.760000000009313,1617717.309999999823049,1698591.889999999897555,1660839.760000000009313,1587382.390000000363216,1713628.500000000000000,10018351.609999999403954
FS( 24 ),1760199.600000000093132,1616766.850000000093132,1676272.020000000018626,1660192.399999999906868,1599967.090000000316650,1709484.750000000000000,10022886.710000000894070
FS( 25 ),1782821.679999999934807,1629122.829999999841675,1687855.750000000000000,1684144.719999999972060,1590738.310000000288710,1704236.000000000000000,10078923.289999999105930
FS( 26 ),1795437.840000000083819,1623895.300000000046566,1690963.580000000074506,1687705.199999999953434,1590738.310000000288710,1702302.250000000000000,10091046.480000000447035
FS( 27 ),1806748.880000000121072,1615341.159999999916181,1692093.699999999953434,1717483.760000000009313,1590738.310000000288710,1711694.750000000000000,10134104.560000000521541
FS( 28 ),1803268.560000000055879,1614390.699999999953434,1677684.670000000158325,1725899.439999999944121,1581090.040000000037253,1710037.250000000000000,10112374.660000000149012
FS( 29 ),1818059.919999999925494,1626271.449999999953434,1666666.000000000000000,1743054.479999999981374,1599547.600000000325963,1706998.500000000000000,10160601.949999999254942
FS( 30 ),1809794.160000000149012,1637201.739999999990687,1671469.010000000009313,1762798.959999999962747,1595772.190000000176951,1718877.250000000000000,10195917.310000000521541
FS( 31 ),1794567.760000000009313,1625320.989999999990687,1675141.899999999906868,1767977.839999999850988,1586962.900000000139698,1706169.750000000000000,10156145.140000000596046
