代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10987494.279999999329448
真實報酬,987494.279999999329448

夏普值報酬,0.090049428000000
夏普值風險,0.026771851950571
夏普值,3.363586059203432

預期報酬,17661.384253689629986
風險,123492.254380844693515
趨勢值,0.143016129572165
找到最佳解世代,1939
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),JNJ[12](4),MCD[15](1),PG[21](5),WMT[28](30),
Stock#,HD[9](2),JNJ[12](4),MCD[15](1),PG[21](5),WMT[28](30),
張數,17317,21424,20298,27800,30845,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,59.670000000158325,69.600000000093132,38.060000000055879,68.000000000000000,10.199999999953434,
20151001,2026668.180000000167638,1996143.680000000167638,2005074.500000000000000,2000278.000000000000000,1982418.349999999860302,10010582.710000000894070
20151002,2040175.440000000176951,2012425.920000000158325,2025575.480000000214204,2013344.000000000000000,2004318.300000000046566,10095839.140000000596046
20151005,2064246.070000000298023,2030207.840000000316650,2053586.720000000204891,2035584.000000000000000,2031770.350000000093132,10215394.980000000447035
20151006,2055241.230000000214204,2001499.680000000167638,2068404.260000000242144,2040588.000000000232831,2025909.800000000279397,10191642.970000000670552
20151007,2072038.720000000204891,2034921.120000000111759,2065765.520000000018626,2049484.000000000000000,2046884.399999999906868,10269093.759999999776483
20151008,2096455.690000000176951,2037063.520000000018626,2089717.160000000149012,2068388.000000000232831,2062923.799999999813735,10354548.169999999925494
20151009,2101131.280000000260770,2043276.480000000214204,2085860.540000000270084,2070612.000000000000000,2057063.249999999767169,10357943.550000000745058
20151012,2111001.970000000670552,2056559.359999999869615,2095603.579999999841675,2066442.000000000000000,2064466.050000000279397,10394072.960000000894070
20151013,2105980.040000000037253,2044990.400000000139698,2098445.299999999813735,2060326.000000000000000,2058297.050000000046566,10368038.790000000968575
20151014,2082775.260000000009313,2025280.320000000065193,2087078.419999999925494,2063105.999999999767169,1851635.550000000046566,10109875.550000000745058
20151015,2109443.440000000409782,2081411.200000000186265,2104128.739999999757856,2064774.000000000000000,1830044.049999999813735,10189801.429999999701977
20151016,2125548.250000000000000,2104763.359999999869615,2127674.419999999925494,2082288.000000000232831,1816472.250000000000000,10256746.279999999329448
20151019,2131782.370000000111759,2098336.160000000149012,2120976.080000000074506,2089516.000000000000000,1815238.449999999953434,10255849.059999998658895
20151020,2127453.120000000111759,2090837.760000000242144,2107782.380000000353903,2069222.000000000232831,1812153.949999999953434,10207449.210000000894070
