代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11116911.559999998658895
真實報酬,1116911.559999998658895

夏普值報酬,0.102991156000000
夏普值風險,0.026890379680144
夏普值,3.830037255890753

預期報酬,17863.473646578713669
風險,139173.924420528172050
趨勢值,0.128353595840284
找到最佳解世代,2287
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),KO[14](2),PG[21](1),
Stock#,AAPL[0](3),KO[14](2),PG[21](1),
張數,16841,65462,30399,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,162.280000000260770,7.959999999962747,82.649999999906868,
20190701,3394465.830000000540167,3377847.160000000149012,3358868.159999999683350,10131182.150000000372529
20190702,3414338.209999999962747,3402722.719999999739230,3388963.169999999925494,10206025.099999999627471
20190703,3442631.090000000316650,3410578.160000000149012,3468000.569999999832362,10321210.820000000298023
20190705,3439599.709999999962747,3411232.779999999795109,3439729.500000000000000,10290562.990000000223517
20190708,3368699.100000000558794,3404031.959999999962747,3467088.599999999627471,10239820.660000000149012
20190709,3389245.120000000577420,3377192.540000000037253,3432433.739999999757856,10198872.400000000372529
20190710,3422758.709999999962747,3392248.799999999813735,3457968.899999999906868,10272977.410000000149012
20190711,3397834.030000000260770,3406650.439999999944121,3477120.269999999552965,10281605.740000000223517
20190712,3423937.580000000540167,3411887.399999999906868,3495663.659999999683350,10331489.640000000596046
20190715,3456103.890000000596046,3412542.020000000018626,3510559.169999999925494,10379206.080000000074506
20190716,3444146.780000000260770,3413196.640000000130385,3523022.759999999776483,10380367.179999999701977
20190717,3424779.630000000353903,3415815.120000000111759,3524542.709999999962747,10365138.460000000894070
20190718,3463682.340000000316650,3405995.819999999832362,3509343.209999999962747,10379022.370000001043081
20190719,3411980.470000000204891,3364100.140000000130385,3496271.640000000130385,10272353.250000000000000
20190722,3489954.300000000279397,3352971.600000000093132,3505087.349999999627471,10348014.250000000000000
20190723,3517236.720000000204891,3556558.419999999925494,3461008.799999999813735,10534804.940000001341105
20190724,3514373.750000000000000,3520554.319999999832362,3423010.049999999813735,10457939.120000001043081
20190725,3486586.100000000558794,3474076.299999999813735,3428177.879999999888241,10388841.280000001192093
20190726,3498711.620000000577420,3546084.500000000000000,3487759.919999999925494,10532557.040000000968575
20190729,3531383.160000000149012,3534301.340000000316650,3526366.649999999906868,10592052.150000000372529
20190730,3516226.260000000242144,3516626.600000000093132,3660426.239999999757856,10693280.099999999627471
20190731,3587968.919999999925494,3445273.020000000018626,3588380.609999999869615,10621623.549999998882413
20190801,3510331.910000000149012,3405995.819999999832362,3548557.919999999925494,10464886.650000000372529
20190802,3436063.100000000558794,3425634.419999999925494,3539742.209999999962747,10401440.730000000447035
20190805,3256201.220000000204891,3381120.259999999776483,3437601.569999999832362,10074924.050000000745058
20190806,3317839.280000000260770,3421706.700000000186265,3474080.370000000111759,10213627.350000001490116
20190807,3352194.919999999925494,3481277.120000000111759,3511775.129999999888241,10345248.169999999925494
20190808,3426126.910000000149012,3514662.739999999757856,3570141.209999999962747,10510931.859999999403954
20190809,3385034.870000000577420,3496988.000000000000000,3550077.870000000111759,10432101.740000002086163
20190812,3376445.959999999962747,3482586.360000000335276,3527278.620000000111759,10386311.940000001341105
20190813,3519426.050000000279397,3502224.959999999962747,3564365.399999999906868,10586017.410000000149012
20190814,3414675.030000000260770,3468839.340000000316650,3519982.859999999869615,10403498.230000000447035
20190815,3397665.620000000577420,3526445.899999999906868,3568621.259999999776483,10492733.780000001192093
20190816,3477828.780000000260770,3561795.379999999888241,3623035.470000000204891,10662660.630000000819564
20190819,3542666.630000000353903,3580124.739999999757856,3655258.409999999683350,10778050.779999999329448
20190820,3542835.040000000502914,3527100.520000000018626,3614523.750000000000000,10684460.310000000521541
20190821,3581232.520000000018626,3541502.160000000149012,3623643.450000000186265,10746379.129999998956919
20190822,3578201.140000000596046,3567032.340000000316650,3630331.229999999981374,10775565.710000000894070
20190823,3412822.520000000018626,3517935.840000000316650,3566493.329999999608845,10497252.689999999478459
20190826,3477660.370000000577420,3570305.439999999944121,3627291.329999999608845,10675258.140000000596046
20190827,3438420.840000000316650,3582088.600000000093132,3664682.099999999627471,10685192.539999999105930
20190828,3461493.010000000242144,3607618.779999999795109,3690521.250000000000000,10759634.039999999105930
20190829,3520099.689999999944121,3603691.059999999590218,3683833.470000000204891,10807625.220000000670552
20190830,3515552.620000000577420,3603036.439999999944121,3654954.419999999925494,10773544.480000000447035
20190903,3464355.979999999981374,3620056.559999999590218,3689305.290000000037253,10773718.829999998211861
20190904,3523131.070000000298023,3650823.700000000186265,3745543.439999999944121,10919499.210000000894070
20190905,3592010.760000000242144,3608273.399999999906868,3731863.890000000130385,10932149.050000000745058
20190906,3591673.939999999944121,3615474.219999999739230,3735207.780000000260770,10942356.940000001341105
20190909,3606999.250000000000000,3568996.200000000186265,3713928.479999999981374,10889924.929999999701977
20190910,3649606.979999999981374,3561140.759999999776483,3644314.769999999552965,10855063.509999999776483
20190911,3765641.470000000204891,3585361.700000000186265,3686569.379999999888241,11037573.550000000745058
20190912,3757220.970000000204891,3607618.779999999795109,3732167.879999999888241,11097008.629999998956919
20190913,3684131.030000000260770,3551976.079999999608845,3712408.530000000260770,10948516.640000000596046
20190916,3703498.180000000167638,3532337.479999999981374,3640362.899999999906868,10876199.560000000521541
20190917,3716970.979999999981374,3550666.840000000316650,3683225.489999999757856,10950864.310000000521541
20190918,3751831.850000000558794,3550012.219999999739230,3690825.239999999757856,10992670.310000000521541
20190919,3721349.640000000596046,3568996.200000000186265,3705720.750000000000000,10996067.589999999850988
20190920,3666953.209999999962747,3529064.379999999888241,3716056.409999999683350,10912075.000000000000000
20190923,3683625.800000000279397,3544120.640000000130385,3745847.429999999701977,10973594.870000001043081
20190924,3666111.160000000149012,3554594.559999999590218,3757703.040000000037253,10978409.759999999776483
20190925,3722528.510000000242144,3546084.500000000000000,3739767.629999999888241,11008381.640000000596046
20190926,3703329.770000000018626,3560486.140000000130385,3778982.339999999850988,11042799.250000000000000
20190927,3685309.900000000372529,3555249.180000000167638,3786886.079999999608845,11027446.160000000149012
20190930,3772041.050000000279397,3563759.239999999757856,3781110.269999999552965,11116911.559999998658895
