代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11412220.170000001788139
真實報酬,1412220.170000001788139

夏普值報酬,0.132522017000000
夏普值風險,0.039863081909445
夏普值,3.324429789473999

二次趨勢線,200.602752232069292 x^2 + 11749.657744208372605 x + 10000000.000000000000000
二次平均預期報酬,23986.425630364603421
風險,47375.241636010046932
二次平均趨勢值,0.506307193420887
一次趨勢線,20851.385923994032055 x + 10000000.000000000000000
一次預期報酬,20851.385923994032055
一次風險,95057.128446715039900
一次趨勢值,0.219356362481352
找到最佳解世代,2815
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](4),JNJ[12](1),TRV[22](2),VZ[26](7),
Stock#,AXP[1](4),JNJ[12](1),TRV[22](2),VZ[26](7),
張數,42553,35290,34312,56471,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.250000000000000,56.399999999906868,27.680000000167638,28.829999999608845,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2510638.250000000000000,2496470.999999999534339,2519214.720000000204891,2488141.089999999850988,10014465.060000000521541
FS( 3 ),2536595.580000000074506,2525055.899999999906868,2541174.400000000372529,2501694.129999999422580,10104520.009999999776483
FS( 4 ),2547233.830000000074506,2519762.399999999906868,2506862.400000000372529,2523717.819999999366701,10097576.449999999254942
FS( 5 ),2561701.850000000093132,2520115.299999999813735,2511322.959999999962747,2433928.929999999701977,10027069.039999999105930
FS( 6 ),2564255.029999999795109,2531408.100000000093132,2537056.959999999962747,2428281.829999999608845,10061001.919999999925494
FS( 7 ),2586808.120000000111759,2547641.500000000000000,2554556.080000000074506,2461599.719999999739230,10150605.419999999925494
FS( 8 ),2605956.970000000204891,2553287.899999999906868,2568280.879999999888241,2445223.129999999422580,10172748.879999998956919
FS( 9 ),2604680.379999999888241,2560698.799999999813735,2571712.080000000074506,2405128.719999999739230,10142219.980000000447035
FS( 10 ),2585531.529999999795109,2553993.700000000186265,2592642.400000000372529,2370116.699999999720603,10102284.330000000074506
FS( 11 ),2579574.109999999869615,2561404.599999999627471,2592299.280000000260770,2344140.039999999571592,10077418.029999999329448
FS( 12 ),2584680.470000000204891,2572697.399999999906868,2604308.480000000447035,2379152.059999999590218,10140838.410000000149012
FS( 13 ),2543829.589999999850988,2584343.100000000093132,2618376.400000000372529,2402305.169999999459833,10148854.259999999776483
FS( 14 ),2527659.449999999720603,2565286.500000000000000,2674648.080000000074506,2424893.569999999366701,10192487.599999997764826
FS( 15 ),2507659.540000000037253,2570932.899999999906868,2664011.360000000335276,2416422.919999999459833,10159026.719999998807907
FS( 16 ),2523404.149999999906868,2579755.399999999906868,2679451.760000000242144,2405128.719999999739230,10187740.030000001192093
FS( 17 ),2531914.750000000000000,2608693.200000000186265,2688372.879999999888241,2409646.399999999906868,10238627.230000000447035
FS( 18 ),2513616.959999999962747,2598106.200000000186265,2654060.879999999888241,2415293.500000000000000,10181077.539999999105930
FS( 19 ),2529787.100000000093132,2625985.299999999813735,2669844.400000000372529,2456517.329999999608845,10282134.130000000819564
FS( 20 ),2524680.739999999757856,2614692.500000000000000,2661952.640000000130385,2462729.139999999664724,10264055.019999999552965
FS( 21 ),2502553.180000000167638,2608693.200000000186265,2692147.199999999720603,2462729.139999999664724,10266122.719999998807907
FS( 22 ),2549361.479999999981374,2617868.600000000093132,2741213.360000000335276,2516376.589999999850988,10424820.030000001192093
FS( 23 ),2528084.979999999981374,2615398.299999999813735,2676363.680000000167638,2514117.750000000000000,10333964.709999999031425
FS( 24 ),2581276.229999999981374,2634807.799999999813735,2698666.480000000447035,2516376.589999999850988,10431127.099999999627471
FS( 25 ),2577020.930000000167638,2660569.500000000000000,2709303.199999999720603,2527106.079999999608845,10473999.709999999031425
FS( 26 ),2644254.669999999925494,2648923.799999999813735,2714793.120000000111759,2510729.489999999757856,10518701.080000000074506
FS( 27 ),2629786.649999999906868,2663745.600000000093132,2705872.000000000000000,2504517.679999999701977,10503921.929999999701977
FS( 28 ),2637446.189999999944121,2661275.299999999813735,2717881.199999999720603,2502823.549999999813735,10519426.239999998360872
FS( 29 ),2646807.850000000093132,2675038.399999999906868,2741556.480000000447035,2509600.069999999366701,10573002.800000000745058
FS( 30 ),2642552.550000000279397,2670097.799999999813735,2744644.560000000055879,2514117.750000000000000,10571412.660000000149012
FS( 31 ),2652765.270000000018626,2675391.299999999813735,2756653.760000000242144,2503388.259999999310821,10588198.589999999850988
FS( 32 ),2625105.819999999832362,2687742.799999999813735,2758369.360000000335276,2507341.229999999515712,10578559.209999999031425
FS( 33 ),2650212.089999999850988,2715974.799999999813735,2765574.879999999888241,2512988.329999999608845,10644750.099999999627471
FS( 34 ),2634467.479999999981374,2705034.899999999906868,2748762.000000000000000,2536706.149999999906868,10624970.529999999329448
FS( 35 ),2618722.870000000111759,2712798.700000000186265,2758026.240000000223517,2548000.349999999627471,10637548.160000000149012
FS( 36 ),2662552.459999999962747,2690918.899999999906868,2779642.800000000279397,2563812.229999999515712,10696926.390000000596046
FS( 37 ),2639148.310000000055879,2666921.699999999720603,2719253.680000000167638,2581882.949999999720603,10607206.639999998733401
FS( 38 ),2634893.010000000242144,2673273.899999999906868,2746360.160000000614673,2604471.349999999627471,10658998.419999999925494
FS( 39 ),2659573.750000000000000,2693389.199999999720603,2771751.040000000037253,2617459.679999999701977,10742173.669999998062849
FS( 40 ),2644680.199999999720603,2685978.299999999813735,2759398.720000000204891,2627624.459999999497086,10717681.679999999701977
FS( 41 ),2654041.859999999869615,2706799.399999999906868,2768662.959999999962747,2638353.949999999720603,10767858.169999999925494
FS( 42 ),2676169.419999999925494,2724444.399999999906868,2762829.919999999925494,2660377.639999999664724,10823821.379999998956919
FS( 43 ),2728509.610000000335276,2740677.799999999813735,2795083.199999999720603,2693130.819999999366701,10957401.429999999701977
FS( 44 ),2751062.700000000186265,2731149.500000000000000,2781701.520000000018626,2669977.709999999497086,10933891.429999999701977
FS( 45 ),2747232.930000000167638,2743853.899999999906868,2786162.080000000074506,2681271.909999999217689,10958520.820000000298023
FS( 46 ),2753190.350000000093132,2759381.500000000000000,2801602.480000000447035,2708377.989999999757856,11022552.320000000298023
FS( 47 ),2787232.750000000000000,2768204.000000000000000,2805033.680000000167638,2699907.339999999850988,11060377.769999999552965
FS( 48 ),2778296.620000000111759,2772438.799999999813735,2804690.560000000055879,2730966.389999999664724,11086392.370000001043081
FS( 49 ),2778722.149999999906868,2772085.899999999906868,2817729.120000000111759,2707248.569999999366701,11075785.739999998360872
FS( 50 ),2782126.389999999664724,2791495.399999999906868,2825964.000000000000000,2737742.909999999217689,11137328.699999999254942
FS( 51 ),2812339.020000000018626,2794671.500000000000000,2823219.040000000037253,2711766.250000000000000,11141995.809999998658895
FS( 52 ),2799147.589999999850988,2781261.299999999813735,2831797.040000000037253,2752990.079999999608845,11165196.009999999776483
FS( 53 ),2771488.139999999664724,2783025.799999999813735,2854442.959999999962747,2764284.279999999795109,11173241.179999997839332
FS( 54 ),2808509.250000000000000,2803846.899999999906868,2876745.760000000242144,2744519.429999999701977,11233621.339999999850988
